timestamp,latitude,longitude,speed,heading
2026-09-09T14:30:20.630412+00:00,17.3916,78.435,28.0,289.0
2026-09-09T14:30:21.630412+00:00,17.391995,78.4338,34.7,289.0
2026-09-09T14:30:22.630412+00:00,17.39239,78.4326,39.8,289.0
2026-09-09T14:30:23.630412+00:00,17.392785,78.4314,42.0,289.0
2026-09-09T14:30:24.630412+00:00,17.39318,78.4302,40.7,289.0
2026-09-09T14:30:25.630412+00:00,17.393575,78.429,36.4,289.0
2026-09-09T14:30:26.630412+00:00,17.39397,78.4278,30.0,289.0
2026-09-09T14:30:27.630412+00:00,17.394365,78.4266,23.1,289.0
2026-09-09T14:30:28.630412+00:00,17.39476,78.4254,17.4,289.0
2026-09-09T14:30:29.630412+00:00,17.395155,78.4242,14.3,289.0
2026-09-09T14:30:30.630412+00:00,17.39555,78.423,14.6,289.0
2026-09-09T14:30:31.630412+00:00,17.395945,78.4218,18.1,289.0
2026-09-09T14:30:32.630412+00:00,17.39634,78.4206,24.1,289.0
2026-09-09T14:30:33.630412+00:00,17.396735,78.4194,31.0,289.0
2026-09-09T14:30:34.630412+00:00,17.39713,78.4182,37.2,289.0
2026-09-09T14:30:35.630412+00:00,17.397525,78.417,41.1,289.0
2026-09-09T14:30:36.630412+00:00,17.39792,78.4158,41.9,289.0
2026-09-09T14:30:37.630412+00:00,17.398315,78.4146,39.2,289.0
2026-09-09T14:30:38.630412+00:00,17.39871,78.4134,33.8,289.0
2026-09-09T14:30:39.630412+00:00,17.399105,78.4122,26.9,289.0
2026-09-09T14:30:40.630412+00:00,17.3995,78.411,0.0,291.2
2026-09-09T14:30:41.630412+00:00,17.3995,78.411,0.0,291.2
2026-09-09T14:30:42.630412+00:00,17.3995,78.411,0.0,291.2
2026-09-09T14:30:43.630412+00:00,17.3995,78.411,28.0,291.2
2026-09-09T14:30:44.630412+00:00,17.399925,78.40985,34.7,291.2
2026-09-09T14:30:45.630412+00:00,17.40035,78.4087,39.8,291.2
2026-09-09T14:30:46.630412+00:00,17.400775,78.40755,42.0,291.2
2026-09-09T14:30:47.630412+00:00,17.4012,78.4064,40.7,291.2
2026-09-09T14:30:48.630412+00:00,17.401625,78.40525,36.4,291.2
2026-09-09T14:30:49.630412+00:00,17.40205,78.4041,30.0,291.2
2026-09-09T14:30:50.630412+00:00,17.402475,78.40295,23.1,291.2
2026-09-09T14:30:51.630412+00:00,17.4029,78.4018,17.4,291.2
2026-09-09T14:30:52.630412+00:00,17.403325,78.40065,14.3,291.2
2026-09-09T14:30:53.630412+00:00,17.40375,78.3995,14.6,291.2
2026-09-09T14:30:54.630412+00:00,17.404175,78.39835,18.1,291.2
2026-09-09T14:30:55.630412+00:00,17.4046,78.3972,24.1,291.2
2026-09-09T14:30:56.630412+00:00,17.405025,78.39605,31.0,291.2
2026-09-09T14:30:57.630412+00:00,17.40545,78.3949,37.2,291.2
2026-09-09T14:30:58.630412+00:00,17.405875,78.39375,41.1,291.2
2026-09-09T14:30:59.630412+00:00,17.4063,78.3926,41.9,291.2
2026-09-09T14:31:00.630412+00:00,17.406725,78.39145,39.2,291.2
2026-09-09T14:31:01.630412+00:00,17.40715,78.3903,33.8,291.2
2026-09-09T14:31:02.630412+00:00,17.407575,78.38915,26.9,291.2
2026-09-09T14:31:03.630412+00:00,17.408,78.388,28.0,310.6
2026-09-09T14:31:04.630412+00:00,17.4096,78.386045,34.7,310.6
2026-09-09T14:31:05.630412+00:00,17.4112,78.38409,39.8,310.6
2026-09-09T14:31:06.630412+00:00,17.4128,78.382135,42.0,310.6
2026-09-09T14:31:07.630412+00:00,17.4144,78.38018,40.7,310.6
2026-09-09T14:31:08.630412+00:00,17.416,78.378225,36.4,310.6
2026-09-09T14:31:09.630412+00:00,17.4176,78.37627,30.0,310.6
2026-09-09T14:31:10.630412+00:00,17.4192,78.374315,23.1,310.6
2026-09-09T14:31:11.630412+00:00,17.4208,78.37236,17.4,310.6
2026-09-09T14:31:12.630412+00:00,17.4224,78.370405,14.3,310.6
2026-09-09T14:31:13.630412+00:00,17.424,78.36845,14.6,310.6
2026-09-09T14:31:14.630412+00:00,17.4256,78.366495,18.1,310.6
2026-09-09T14:31:15.630412+00:00,17.4272,78.36454,24.1,310.6
2026-09-09T14:31:16.630412+00:00,17.4288,78.362585,31.0,310.6
2026-09-09T14:31:17.630412+00:00,17.4304,78.36063,37.2,310.6
2026-09-09T14:31:18.630412+00:00,17.432,78.358675,41.1,310.6
2026-09-09T14:31:19.630412+00:00,17.4336,78.35672,41.9,310.6
2026-09-09T14:31:20.630412+00:00,17.4352,78.354765,39.2,310.6
2026-09-09T14:31:21.630412+00:00,17.4368,78.35281,33.8,310.6
2026-09-09T14:31:22.630412+00:00,17.4384,78.350855,26.9,310.6
2026-09-09T14:31:23.630412+00:00,17.44,78.3489,0.0,82.6
2026-09-09T14:31:24.630412+00:00,17.44,78.3489,0.0,82.6
2026-09-09T14:31:25.630412+00:00,17.44,78.3489,0.0,82.6
2026-09-09T14:31:26.630412+00:00,17.44,78.3489,28.0,82.6
2026-09-09T14:31:27.630412+00:00,17.4402,78.350505,34.7,82.6
2026-09-09T14:31:28.630412+00:00,17.4404,78.35211,39.8,82.6
2026-09-09T14:31:29.630412+00:00,17.4406,78.353715,42.0,82.6
2026-09-09T14:31:30.630412+00:00,17.4408,78.35532,40.7,82.6
2026-09-09T14:31:31.630412+00:00,17.441,78.356925,36.4,82.6
